tx_id,tx_size,tx_fee
352,557,9474
353,732,3189
354,546,6422
355,474,9992
356,182,2976
357,719,6773
358,952,1914
359,835,4423
360,560,2004
361,418,5692
362,690,1360
363,549,4468
364,448,3017
365,799,3036
366,627,8460
367,642,2595
368,384,6311
369,727,4511
370,958,9275
371,303,5252
372,337,5843
373,784,9282
374,124,6830
375,429,1200
376,858,5292
377,906,2361
378,193,4500
379,473,6733
380,330,5576
381,161,4586
382,755,6968
383,479,8064
384,531,6933
385,186,4630
386,940,1988
387,748,5929
388,212,1310
389,310,4228
390,681,9785
391,585,1476
392,350,3403
393,751,5284
394,225,7286
395,938,7764
396,831,4672
397,993,6468
398,200,6022
399,122,3714
400,293,3380
401,322,4669
402,345,8666
403,811,5827
404,124,7185
405,831,5874
406,645,6434
407,502,8036
408,937,7663
409,888,1968
410,386,2790
411,227,1565
412,399,4224
413,277,5085
414,461,5988
415,525,6186
416,878,5011
417,532,1941
418,458,7724
419,231,3194
420,935,7670
421,807,9592
422,550,7647
423,891,2561
424,169,7121
425,448,6995
426,355,3876
427,611,4322
428,618,7449
429,422,3282
430,598,6356
431,897,9397
432,335,9256
433,989,8575
434,999,2032
435,323,2983
436,614,5507
437,735,6123
438,236,6706
439,250,7590
440,958,6191
441,279,5570
442,249,7745
443,654,2850
444,270,7534
445,193,6462
446,385,7371
447,177,6604
448,179,1410
449,389,4530
450,681,7280
451,378,9450
452,667,8417
453,921,1813
454,924,2780
455,951,6599
456,256,4780
457,974,9796
458,481,3013
459,652,3403
460,590,1749
461,795,3042
462,412,3564
463,743,7781
464,293,1011
465,791,8134
466,945,2200
467,426,9356
468,548,3941
469,572,6254
470,564,7001
471,528,8101
472,997,4918
473,509,7376
474,989,8437
475,772,6387
476,712,6547
477,242,1602
478,432,6574
479,627,8130
480,359,1243
481,161,1120
482,271,5873
483,422,5268
484,346,8973
485,249,5950
486,809,6712
487,123,3200
488,207,2426
489,265,3794
490,976,5890
491,923,9549
492,819,4800
493,862,3754
494,333,7809
495,119,7852
496,599,8195
497,913,4062
498,615,2217
499,912,8033
500,183,4512
501,984,3060
502,564,4305
503,847,3108
504,319,4643
505,791,5966
506,690,8439
507,737,2586
508,914,5412
509,685,1505
510,103,5576
511,481,3602
512,207,1482
513,757,1558
514,190,6945
515,920,1961
516,830,4299
517,132,9929
518,477,8332
519,445,9539
520,533,8910
521,522,4703
522,282,4923
523,192,2817
524,118,9578
525,584,7977
526,187,6447
527,396,2354
528,765,1562
529,331,7308
530,972,9907
531,164,6783
532,988,4922
533,686,6733
534,815,7003
535,449,2180
536,115,8420
537,166,9426
538,314,5584
539,113,6718
540,770,6582
541,326,2302
542,187,5853
543,273,7540
544,835,2602
545,340,4954
546,399,5698
547,212,3230
548,221,8854
549,770,7245
550,289,9085
551,725,3933
552,667,3391
553,983,7248
554,203,1780
555,490,1236
556,635,4228
557,963,9636
558,210,1937
559,898,5281
560,842,4532
561,206,4734
562,393,2209
563,752,5738
564,847,9885
565,883,4671
566,706,2112
567,696,8064
568,612,5561
569,521,5121
570,115,8038
571,505,6600
572,196,8247
573,467,4077
574,268,9110
575,167,8855
576,427,2368
577,266,8766
578,988,3284
579,787,4459
580,282,2394
581,738,3866
582,211,9082
583,280,5613
584,257,5548
585,539,2676
586,514,9475
587,846,1048
588,687,9219
589,665,1270
590,843,1666
591,840,3498
592,251,3228
593,847,4125
594,204,3840
595,249,9573
596,615,1641
597,116,1742
598,650,8347
599,524,5693
600,203,8848
601,939,8504
602,392,6741
603,541,1205
604,710,1423
605,657,1626
606,219,2663
607,163,4081
608,461,8376
609,315,7789
610,105,8476
611,610,5525
612,583,8779
613,891,7071
614,615,3058
615,349,8707
616,193,4322
617,556,5588
618,965,7188
619,322,2683
620,211,2301
621,921,2691
622,452,1615
623,795,7045
624,374,3416
625,204,3952
626,484,5067
627,150,3041
628,349,1304
629,466,7109
630,208,4593
631,866,3146
632,361,9246
633,395,5006
634,426,4272
635,473,7159
636,950,9626
637,294,2035
638,586,9801
639,411,6589
640,158,7196
641,305,8007
642,579,4620
643,608,9287
644,344,6847
645,283,1816
646,321,3714
647,865,2079
648,222,2465
649,275,3035
650,864,7204
651,669,2343
652,796,4725
653,843,8590
654,536,2531
655,350,2184
656,358,8028
657,622,1925
658,177,7554
659,928,9434
660,282,2939
661,409,2233
662,379,8356
663,347,2069
664,110,6500
665,876,1435
666,645,1290
667,320,1972
668,926,4439
669,669,9797
670,810,6752
671,257,5925
672,275,3861
673,100,9776
674,177,4100
675,192,3578
676,402,5069
677,749,8123
678,498,5598
679,559,3146
680,849,1971
681,873,2781
682,771,5948
683,629,9147
684,284,3496
685,742,6212
686,408,4531
687,683,4304
688,488,1974
689,971,5778
690,723,1448
691,727,6246
692,795,3173
693,695,6167
694,197,5123
695,559,4310
696,143,3454
697,955,7074
698,381,1571
699,544,8832
700,533,2810
701,716,4934
702,991,8960
703,317,4325
704,707,2604
705,830,4680
706,810,1780
707,492,6670
708,989,2448
709,513,2691
710,429,5740
711,964,7655
712,827,5117
713,739,9287
714,769,9649
715,782,3012
716,304,6216
717,304,5970
718,199,4088
719,799,9966
720,527,1600
721,682,2862
722,106,7144
723,422,3063
724,553,9865
725,971,3192
726,293,4325
727,429,2462
728,561,2371
729,761,5528
730,320,2645
731,583,1097
732,719,1773
733,368,7482
734,801,2671
735,153,3453
736,331,9978
737,777,1242
738,141,3017
739,610,9305
740,252,8489
741,192,1192
742,243,5879
743,654,7799
744,980,3374
745,242,3474
746,359,3294
747,899,3696
748,760,7928
749,169,4882
750,198,2354
751,990,2554
752,490,7245
753,519,9183
754,130,1539
755,350,8207
756,904,2296
757,719,3888
758,898,5996
759,228,7859
760,848,6557
761,307,7696
762,161,1923
763,876,2746
764,110,6471
765,952,5032
766,187,1648
767,262,4196
768,842,3541
769,188,4602
770,303,2684
771,182,8475
772,883,3140
773,419,6234
774,590,5202
775,646,4527
776,695,6270
777,164,9591
778,434,7675
779,151,2742
780,197,7493
781,190,7334
782,871,9451
783,959,4291
784,467,8217
785,795,5033
786,260,2392
787,239,7410
788,120,2018
789,677,1734
790,978,9253
791,325,2692
792,575,7904
793,675,7375
794,504,4134
795,916,7145
796,538,3711
797,883,1429
798,664,6755
799,463,7739
800,899,7869
801,846,6796
802,346,1510
803,966,4001
804,143,7285
805,188,6412
806,450,9591
807,680,9308
808,488,2368
809,535,7135
810,572,5980
811,452,4181
812,811,5272
813,668,7795
814,502,4774
815,138,5238
816,951,9511
817,332,5068
818,170,9606
819,757,3244
820,817,6019
821,188,5195
822,931,1005
823,266,1896
824,978,5803
825,544,4415
826,253,8753
827,797,2586
828,596,1320
829,454,3581
830,391,2961
831,161,6709
832,561,9721
833,154,3694
834,400,2748
835,134,3857
836,925,1090
837,185,3823
838,725,3221
839,169,5376
840,471,3799
841,239,7677
842,952,5647
843,875,8173
844,810,4659
845,360,1992
846,574,6517
847,601,5446
848,461,4990
849,906,4449
850,962,8570
851,218,6284
852,875,5075
853,688,2750
854,671,3785
855,889,7927
856,799,9554
857,189,3138
858,856,6093
859,476,7434
860,205,7848
861,331,7572
862,240,2683
863,828,7479
864,646,4946
865,212,3801
866,777,1907
867,206,8140
868,946,8732
869,447,1339
870,683,1813
871,229,2798
872,840,4121
873,283,1650
874,685,4188
875,785,4376
876,421,4934
877,218,3681
878,198,6260
879,781,6785
880,519,7307
881,571,8523
882,904,9121
883,530,8137
884,417,3852
885,423,5464
886,635,7140
887,863,2682
888,914,1976
889,600,7424
890,809,4135
891,588,8390
892,283,6000
893,118,5345
894,936,6824
895,729,3877
896,136,6785
897,878,2674
898,529,1253
899,197,1836
900,839,7581
901,561,7882
902,915,3913
903,502,7562
904,943,2755
905,379,9075
906,806,6005
907,126,9125
908,197,6831
909,789,6248
910,119,2390
911,710,8500
912,284,6118
913,394,4546
914,537,5961
915,566,2438
916,831,6843
917,108,8451
918,541,4006
919,472,9877
920,796,3275
921,878,3417
922,662,6942
923,702,6060
924,637,1641
925,201,2242
926,318,2442
927,544,6387
928,732,1476
929,877,3623
930,501,6727
931,756,4501
932,203,6437
933,123,2107
934,495,2369
935,295,5536
936,483,1047
937,313,6522
938,561,7736
939,279,3169
940,646,5160
941,394,3928
942,512,2397
943,289,4717
944,328,1537
945,711,7947
946,253,1440
947,105,9792
948,475,3894
949,686,4604
950,1000,2212
951,832,4287
952,818,3508
953,436,7643
954,361,6650
955,612,6683
956,964,9983
957,811,3069
958,510,4553
959,708,8975
960,525,1515
961,301,9640
962,250,6562
963,583,6832
964,938,4867
965,365,3210
966,564,8789
967,246,3685
968,612,3756
969,498,7327
970,271,1478
971,502,3750
972,337,8793
973,922,9899
974,447,2594
975,968,9746
976,713,3644
977,584,4639
978,123,2853
979,788,6546
980,374,7130
981,968,7187
982,612,7003
983,212,1621
984,844,2294
985,413,3971
986,203,3155
987,455,9562
988,627,9261
989,968,6695
990,903,9653
991,315,6778
992,389,10000
993,424,1269
994,118,1406
995,365,9892
996,744,5877
997,840,5705
998,778,1229
999,190,8504
1000,971,4996
1001,357,7808
1002,820,3385
1003,111,5246
1004,199,5003
1005,422,4056
1006,529,3616
1007,668,6365
1008,756,2821
1009,601,3320
1010,614,3734
1011,338,8266
1012,372,3153
1013,612,3923
1014,591,2683
1015,516,5117
1016,569,1480
1017,285,1328
1018,260,9888
1019,986,6865
1020,766,7824
1021,633,7295
1022,934,4400
1023,732,5345
1024,963,5212
1025,102,5637
1026,644,2407
1027,726,5226
1028,778,6160
1029,969,9220
1030,378,3875
1031,573,2353
1032,264,6476
1033,355,4736
1034,331,2835
1035,273,3109
1036,166,3959
1037,725,8550
1038,908,6129
1039,626,6787
1040,838,2072
1041,731,8806
1042,154,2741
1043,165,6166
1044,567,7519
1045,887,5676
1046,539,4832
1047,139,5727
1048,267,7674
1049,692,4728
1050,425,3569
1051,909,7287
1052,264,2051
1053,101,6651
1054,258,2614
1055,323,8074
1056,922,1036
1057,877,5690
1058,466,8635
1059,708,7482
1060,978,2826
1061,467,9316
1062,289,3008
1063,829,4533
1064,694,7495
1065,749,4772
1066,458,2140
1067,597,1826
1068,982,4924
1069,475,8750
1070,299,7829
1071,703,7294
1072,373,4025
1073,173,3667
1074,255,9473
1075,758,8637
1076,473,9414
1077,812,4672
1078,480,5717
1079,826,6634
1080,190,1387
1081,434,7897
1082,882,4857
1083,461,8488
1084,270,1027
1085,760,8369
1086,773,3068
1087,938,3938
1088,926,2735
1089,672,1175
1090,533,4479
1091,482,3182
1092,767,9452
1093,861,6914
1094,901,1861
1095,258,2559
1096,534,1660
1097,137,1218
1098,690,6725
1099,351,4304
1100,117,1376
1101,318,7510
1102,870,5680
1103,758,9590
1104,919,7642
1105,412,8069
1106,902,7869
1107,234,2421
1108,184,6941
1109,250,6955
1110,981,9211
1111,448,9573
1112,593,6816
1113,586,9259
1114,774,7301
1115,996,1849
1116,352,1636
1117,741,7784
1118,627,6873
1119,444,4592
1120,427,3364
1121,705,4722
1122,691,9941
1123,968,7442
1124,843,2406
1125,783,7564
1126,401,7891
1127,950,1834
1128,177,6913
1129,395,8891
1130,261,9162
1131,486,7027
1132,792,3868
1133,399,7676
1134,887,5182
1135,907,9877
1136,965,4036
1137,310,7265
1138,405,1956
1139,755,6467
1140,489,1698
1141,347,7430
1142,687,3745
1143,935,8855
1144,713,3777
1145,398,4532
1146,262,6982
1147,616,4317
1148,267,7219
1149,591,1974
1150,455,4602
1151,578,9570
1152,846,9752
1153,739,4319
1154,614,4167
1155,559,8219
1156,501,7389
1157,147,7276
1158,751,8410
1159,226,5899
1160,812,7862
1161,179,4481
1162,824,4603
1163,411,6988
1164,480,6750
1165,946,2136
1166,922,2202
1167,438,2698
1168,410,7841
1169,397,4637
1170,920,3558
1171,555,6444
1172,296,3906
1173,406,8587
1174,285,1358
1175,631,7463
1176,953,2404
1177,694,9161
1178,877,3726
1179,500,5714
1180,437,8514
1181,978,4023
1182,833,7528
1183,466,7662
1184,529,4824
1185,321,5696
1186,806,1604
1187,956,6103
1188,421,8280
1189,118,4119
1190,842,1782
1191,955,6003
1192,824,9509
1193,134,1814
1194,805,7619
1195,704,2371
1196,500,3963
1197,349,3917
1198,476,5355
1199,776,4035
1200,255,6686
1201,521,5579
1202,202,5681
1203,293,4170
1204,482,2456
1205,309,1823
1206,875,3229
1207,460,9223
1208,908,9512
1209,464,6014
1210,884,7488
1211,148,6523
1212,941,1634
1213,833,5971
1214,557,4136
1215,295,8994
1216,554,4171
1217,239,6048
1218,465,1755
1219,914,5215
1220,304,8851
1221,370,6231
1222,267,5486
1223,981,9642
1224,368,5761
1225,402,8747
1226,496,1478
1227,751,4853
1228,857,7077
1229,566,7951
1230,492,8059
1231,452,9701
1232,563,4788
1233,548,2702
1234,454,2807
1235,395,1433
1236,549,8234
1237,505,1354
1238,976,6303
1239,391,2225
1240,481,8407
1241,573,3703
1242,503,5196
1243,131,4075
1244,185,4587
1245,742,1738
1246,230,5657
1247,105,6895
1248,324,3428
1249,885,1921
1250,510,1347
1251,739,9540
1252,182,5146
1253,995,6557
1254,583,7713
1255,896,1104
1256,278,1614
1257,974,9972
1258,766,1472
1259,696,8227
1260,247,9364
1261,855,7755
1262,493,1438
1263,501,9994
1264,516,4959
1265,729,4783
1266,347,2465
1267,609,8849
1268,983,7418
1269,616,3580
1270,351,2672
1271,878,4123
1272,723,4386
1273,627,1405
1274,336,6621
1275,567,8261
1276,602,9067
1277,415,1996
1278,341,1515
1279,963,3018
1280,892,7026
1281,426,6059
1282,195,6461
1283,866,5394
1284,896,8567
1285,782,8523
1286,614,9151
1287,437,7597
1288,259,8257
1289,332,3496
1290,307,7768
1291,802,5331
1292,418,3037
1293,140,5760
1294,801,6566
1295,182,6121
1296,232,3700
1297,868,3801
1298,863,1846
1299,593,2268
1300,555,4630
1301,426,3715
1302,971,3233
1303,460,8291
1304,803,7287
1305,227,6541
1306,229,2838
1307,842,5941
1308,112,5356
1309,925,7066
1310,146,9023
1311,812,2350
1312,401,7079
1313,955,9623
1314,599,2400
1315,829,3830
1316,337,3633
1317,661,8559
1318,647,4050
1319,286,1246
1320,433,3989
1321,794,4032
1322,587,1608
1323,202,6273
1324,603,8467
1325,376,4589
1326,725,4224
1327,907,7460
1328,551,7710
1329,118,1316
1330,480,1085
1331,480,1551
1332,277,3753
1333,258,3734
1334,658,4721
1335,443,7599
1336,973,4877
1337,374,1944
1338,940,2498
1339,838,4774
1340,705,6831
1341,113,7987
1342,450,8019
1343,956,8961
1344,818,6973
1345,346,8590
1346,733,2765
1347,556,9402
1348,728,9162
1349,808,3739
1350,733,6198
1351,275,3131
1352,496,9983
1353,535,6533
1354,775,4094
1355,432,3971
1356,929,5828
1357,827,5316
1358,475,4329
1359,953,6771
1360,281,7322
1361,929,8863
1362,419,8346
1363,117,5455
1364,887,2339
1365,966,3002
1366,305,8554
1367,510,1787
1368,610,5951
1369,518,5645
1370,625,3756
1371,197,9452
1372,327,6842
1373,359,3546
1374,184,4752
1375,311,8658
1376,889,7116
1377,677,5768
1378,757,9092
1379,190,1521
1380,143,4814
1381,503,7698
1382,220,1716
1383,852,2792
1384,612,7387
1385,112,5247
1386,942,8501
1387,798,1548
1388,263,9163
1389,427,2425
1390,233,4304
1391,922,2742
1392,922,7738
1393,860,1880
1394,847,2020
1395,265,7161
1396,530,1114
1397,265,3148
1398,305,2217
1399,712,6699
1400,611,2420
1401,470,9727
1402,725,3409
1403,511,3593
1404,834,3206
1405,623,9060
1406,641,1735
1407,431,6525
1408,685,4778
1409,945,1922
1410,676,8457
1411,906,9070
1412,552,5148
1413,646,1904
1414,310,4168
1415,381,5385
1416,389,6391
1417,958,6423
1418,501,8449
1419,206,3336
1420,468,9886
1421,203,5258
1422,774,4799
1423,739,2435
1424,910,9938
1425,664,8595
1426,740,5611
1427,597,6487
1428,540,2066
1429,184,8297
1430,802,4213
1431,961,9300
1432,707,8699
1433,678,8575
1434,732,5567
1435,406,6282
1436,247,3237
1437,485,8115
1438,715,8552
1439,897,5479
1440,127,2118
1441,923,1972
1442,150,3114
1443,646,7503
1444,365,5270
1445,976,4845
1446,124,6578
1447,134,8555
1448,384,1012
1449,922,4425
1450,309,8008
1451,992,3001
1452,217,3321
1453,867,4564
1454,855,5073
1455,713,6799
1456,135,7348
1457,620,8541
1458,389,1100
1459,797,3018
1460,146,4372
1461,376,3705
1462,514,5036
1463,252,4318
1464,395,6418
1465,576,4458
1466,242,4778
1467,959,4234
1468,483,1595
1469,770,3080
1470,144,1219
1471,291,3756
1472,306,2250
1473,578,2052
1474,503,1631
1475,857,2655
1476,658,3200
1477,510,8027
1478,170,6217
1479,195,8513
1480,233,5829
1481,659,1686
1482,774,1411
1483,818,6592
1484,722,4168
1485,212,6950
1486,671,5995
1487,907,2639
1488,848,5032
1489,307,6105
1490,554,5315
1491,116,5425
1492,429,6580
1493,832,4887
1494,971,3308
1495,822,5625
1496,702,4377
1497,163,9423
1498,265,3970
1499,533,2428
1500,181,9912
1501,329,3654
1502,731,7512
1503,978,3175
1504,511,5812
1505,976,5765
1506,675,8562
1507,309,8563
1508,677,3865
1509,263,2594
1510,339,9104
1511,478,1548
1512,925,4310
1513,172,3637
1514,574,9503
1515,871,1341
1516,556,7300
1517,270,2477
1518,891,7245
1519,755,4881
1520,506,1563
1521,903,4598
1522,624,8810
1523,284,7376
1524,535,6136
1525,313,2305
1526,312,9971
1527,199,2738
1528,281,3357
1529,752,9317
1530,649,5091
1531,593,6533
1532,266,1726
1533,594,7273
1534,377,7136
1535,972,5021
1536,352,3307
1537,646,1112
1538,265,5594
1539,789,4030
1540,229,9221
1541,671,5112
1542,664,4549
1543,552,4847
1544,629,6800
1545,359,5417
1546,880,4260
1547,317,7218
1548,744,9776
1549,699,9104
1550,392,9241
1551,687,1823
1552,771,3389
1553,787,10000
1554,641,3821
1555,748,9326
1556,585,9569
1557,200,9846
1558,592,1184
1559,105,1401
1560,686,4813
1561,972,5086
1562,629,4894
1563,649,7619
1564,425,4318
1565,515,4415
1566,148,1276
1567,579,6072
1568,106,2543
1569,676,3405
1570,673,1541
1571,313,2477
1572,655,6559
1573,942,8943
1574,784,6691
1575,413,5749
1576,154,7053
1577,520,7613
1578,862,9799
1579,453,4454
1580,467,1667
1581,893,4549
1582,450,9777
1583,151,8640
1584,702,6291
1585,521,1043
1586,336,5171
1587,598,2785
1588,217,4643
1589,611,1281
1590,902,8210
1591,344,8906
1592,552,5841
1593,698,1515
1594,404,4681
1595,688,4585
1596,122,9176
1597,730,8904
1598,225,8276
1599,462,3367
1600,508,5391
1601,874,2052
1602,479,7593
1603,562,5714
1604,787,9683
1605,921,1253
1606,322,1051
1607,942,9242
1608,561,4365
1609,385,4934
1610,503,7725
1611,981,2860
1612,712,7662
1613,218,4961
1614,598,6726
1615,374,6623
1616,287,3903
1617,926,1632
1618,160,2897
1619,366,1551
1620,233,7003
1621,928,7377
1622,563,2576
1623,442,2983
1624,341,4409
1625,947,4292
1626,463,1372
1627,728,8002
1628,673,6433
1629,977,9372
1630,256,7997
1631,386,3065
1632,583,4774
1633,860,9154
1634,666,8624
1635,734,5204
1636,627,4292
1637,906,4134
1638,123,1528
1639,689,8159
1640,588,7268
1641,551,4897
1642,493,6394
1643,466,3655
1644,497,1698
1645,570,6830
1646,248,2304
1647,756,7329
1648,849,9158
1649,946,1893
1650,442,2686
1651,650,6677
1652,852,5598
1653,987,5276
1654,333,1680
1655,282,4503
1656,884,2818
1657,828,6210
1658,253,9582
1659,948,5792
1660,635,7597
1661,893,7200
1662,133,4032
1663,887,2534
1664,241,7946
1665,532,4644
1666,774,8472
1667,513,3823
1668,247,6523
1669,633,1179
1670,178,1936
1671,346,7631
1672,834,9510
1673,167,4712
1674,715,5924
1675,657,5517
1676,390,3721
1677,104,6125
1678,837,7626
1679,446,7279
1680,909,1410
1681,408,2433
1682,749,3218
1683,605,6718
1684,167,3072
1685,265,3493
1686,980,6638
1687,676,6534
1688,672,8706
1689,740,3962
1690,133,9510
1691,411,2650
1692,717,1066
1693,857,8825
1694,474,2859
1695,915,3841
1696,793,1012
1697,374,1703
1698,622,4369
1699,438,2491
1700,690,3611
1701,554,9884
1702,147,3468
1703,740,2558
1704,769,2135
1705,678,8417
1706,777,8312
1707,493,8890
1708,113,6926
1709,396,7264
1710,769,4790
1711,460,7057
1712,786,2999
1713,151,9104
1714,787,2289
1715,672,1756
1716,359,7967
1717,205,1924
1718,133,6821
1719,608,4200
1720,911,9175
1721,110,4407
1722,322,6427
1723,885,6813
1724,648,8418
1725,369,7911
1726,828,6134
1727,693,3261
1728,391,1936
1729,737,4453
1730,174,8375
1731,987,7060
1732,775,7673
1733,486,7851
1734,257,5447
1735,658,5330
1736,759,5408
1737,568,2050
1738,671,8882
1739,940,3580
1740,783,7936
1741,188,5976
1742,337,1591
1743,109,4202
1744,670,5711
1745,258,1463
1746,726,3363
1747,246,6734
1748,293,7443
1749,523,4754
1750,692,3211
1751,902,5678
1752,801,3239
1753,489,8511
1754,104,4051
1755,872,7549
1756,228,6939
1757,693,5664
1758,578,8506
1759,114,3420
1760,535,9203
1761,343,8290
1762,957,7214
1763,340,8497
1764,985,8986
1765,317,2136
1766,175,7680
1767,763,9003
1768,937,5960
1769,106,4242
1770,207,4851
1771,369,3194
1772,726,1368
1773,253,3479
1774,633,7587
1775,887,9738
1776,799,1863
1777,524,7929
1778,869,5838
1779,603,8176
1780,863,6000
1781,880,8140
1782,662,7443
1783,156,5916
1784,552,2602
1785,811,2979
1786,216,9806
1787,599,4832
1788,234,7319
1789,294,5106
1790,887,3120
1791,906,3536
1792,899,6281
1793,978,5921
1794,820,1851
1795,751,3458
1796,135,1030
1797,445,9271
1798,111,8118
1799,895,2720
1800,425,9274
1801,954,8199
1802,128,4993
1803,211,5435
1804,927,4451
1805,111,4825
1806,112,7877
1807,930,6423
1808,819,3026
1809,672,1617
1810,912,2748
1811,515,5189
1812,627,7352
1813,729,7021
1814,361,7421
1815,836,7305
1816,142,4579
1817,544,2453
1818,790,8708
1819,139,2601
1820,831,1321
1821,276,6186
1822,777,8826
1823,456,5151
1824,246,4891
1825,401,5749
1826,935,7678
1827,730,9011
1828,300,2649
1829,570,8793
1830,446,8892
1831,907,8718
1832,459,8643
1833,337,1819
1834,727,6707
1835,172,7527
1836,296,7743
1837,926,4480
1838,422,4764
1839,133,3346
1840,285,8159
1841,943,6892
1842,634,4303
1843,600,1907
1844,366,7593
1845,912,7331
1846,629,9240
1847,708,9463
1848,730,2795
1849,386,6102
1850,832,6613
1851,888,3935
1852,399,2574
1853,636,1594
1854,372,2173
1855,499,3969
1856,533,7369
1857,414,3563
1858,130,2227
1859,626,3337
1860,970,4555
1861,241,8767
1862,752,9822
1863,622,8394
1864,253,2799
1865,955,2083
1866,699,5778
1867,144,5604
1868,885,2189
1869,714,2144
1870,166,9109
